Item;Ratings
6428320;1
14072149;1
41291905;1
41913574;1
201891859;1
577088726;1
634029231;1
634029347;3
634029355;5
634029363;5
634050028;1
634055429;1
634055534;2
634061801;11
634065459;1
739003755;8
739037986;4
739040251;10
739040308;7
739040375;35
739042726;5
739045032;11
739045067;13
739046500;80
739048287;3
739051210;2
739055224;2
739056247;1
739057561;4
739059068;1
739059114;1
739060287;27
739064525;6
739069713;7
739075934;7
739076744;2
739079883;54
756028566;1
757931847;1
757990894;12
767851013;336
786615303;6
849428866;1
849706807;1
849707692;1
849734339;2
849756677;1
849757487;2
881881037;2
930948246;1
975681753;1
976054809;2
976605805;2
976615355;5
977875652;6
1384719342;47
1417030321;1218
1423403363;2
1423465180;4
1423480686;2
1423494148;1
1423499158;6
1557832846;1
1562241885;1
1562242563;1
1570587094;1
1571666311;1
1617310239;2
1886997217;2
1888743093;1
1891747215;2
1892597551;2
1925542475;2
1932537260;1
1932703195;1
1933098465;1
3542861359;1
3795776090;1
3905477351;1
5714000064;1
6025006350;1
6025006369;2
6025006377;3
6025006385;3
6025006393;2
6025006407;4
6302531810;1
6302598834;43
6303111904;2
6305082286;2
6305082340;2
6305275432;1
6305275696;3
6305276595;1
6305276641;1
6305276692;1
6305838534;3
7108022419;1
7109111938;1
7109113205;1
7505722085;1
7806558780;2
8805002917;1
9792372326;18
9868238854;2
073904852X;19
156224213X;1
157166632X;2
157560860X;1
189388404X;7
630251228X;11
630527553X;1
B0000000P3;2
B0000000PB;1
B000000135;5
B0000001IQ;4
B0000001JY;3
B0000001L6;1
B000000233;4
B0000002DY;3
B0000002L1;1
B0000002RE;3
B000000407;3
B0000004X5;2
B0000005GI;1
B0000005HD;1
B0000005HW;4
B0000005I2;1
B0000006DZ;1
B00000079L;1
B0000007F7;1
B0000007W5;1
B0000007XT;2
B000000836;2
B00000083H;2
B00000085F;1
B00000086U;1
B00000086V;1
B0000008BR;4
B0000008D7;5
B0000008DH;1
B0000008FF;7
B0000008GO;1
B0000008J8;1
B0000008KR;2
B0000008KV;1
B0000008LR;1
B0000008P7;1
B0000008QI;1
B0000008UV;1
B0000008VF;1
B0000008VJ;3
B0000008X2;1
B000000906;4
B000000919;20
B000000931;3
B000000956;1
B0000009HH;1
B0000009K4;21
B000000A4C;2
B000000A4H;10
B000000A4N;2
B000000A50;2
B000000A61;3
B000000A6C;3
B000000A87;3
B000000A8E;3
B000000A9H;7
B000000A9I;2
B000000A9W;5
B000000AD1;3
B000000AEX;9
B000000AFL;1
B000000AGC;1
B000000AH8;3
B000000AHH;1
B000000AIZ;2
B000000AKC;3
B000000AKH;1
B000000AMF;4
B000000AMS;4
B000000APG;1
B000000ARE;2
B000000ATC;2
B000000AUU;3
B000000AYI;3
B000000AYL;1
B000000AZ1;1
B000000AZ2;3
B000000AZ5;1
B000000AZA;3
B000000B0W;2
B000000B0X;1
B000000B24;6
B000000B28;1
B000000B2Y;2
B000000BCI;1
B000000BDY;1
B000000BEA;24
B000000C3P;4
B000000C7B;1
B000000CGM;3
B000000CV0;1
B000000CZW;4
B000000D34;1
B000000D7A;1
B000000D7U;5
B000000DJU;1
B000000DPB;2
B000000DUF;6
B000000DV7;3
B000000DZQ;3
B000000E0E;6
B000000EH9;2
B000000EI6;1
B000000EIJ;2
B000000EJM;6
B000000ETZ;1
B000000EU4;2
B000000F0C;2
B000000F0R;1
B000000F6B;1
B000000F8V;1
B000000FAG;6
B000000FED;2
B000000FFJ;1
B000000FWE;2
B000000G64;1
B000000G8P;4
B000000GY9;2
B000000I5M;13
B000000I5U;1
B000000I77;1
B000000J2B;1
B000000J2F;2
B000000J2J;2
B000000J2K;1
B000000J2L;1
B000000J31;1
B000000J32;2
B000000J3G;1
B000000J3L;2
B000000J42;1
B000000J45;1
B000000J4G;1
B000000J4H;1
B000000J4I;1
B000000J4J;3
B000000J4K;3
B000000J4U;1
B000000J4W;2
B000000J51;1
B000000J58;1
B000000J5J;1
B000000J5U;2
B000000J6Y;2
B000000J70;2
B000000J80;2
B000000J83;1
B000000J8B;2
B000000J8F;1
B000000J8R;1
B000000J8S;1
B000000J91;1
B000000J9T;1
B000000JAW;3
B000000JAX;2
B000000JAY;1
B000000JB3;1
B000000JBD;1
B000000JBS;1
B000000JCJ;1
B000000JD0;1
B000000JD1;1
B000000JD2;1
B000000JD6;1
B000000JDG;1
B000000JDT;2
B000000JDU;2
B000000JDZ;2
B000000JEH;1
B000000JEO;1
B000000JEW;1
B000000JEY;1
B000000JF4;1
B000000JFF;1
B000000JG0;1
B000000JG3;1
B000000JG5;1
B000000JGU;5
B000000JHK;3
B000000JHO;1
B000000JHU;1
B000000JI2;2
B000000JI7;2
B000000JIT;1
B000000JM7;1
B000000JM8;1
B000000JPE;3
B000000M7Z;1
B000000MH9;2
B000000MOE;1
B000000NDP;2
B000000NXZ;2
B000000NYI;4
B000000O2B;3
B000000P29;1
B000000PEP;3
B000000QEM;1
B000000QF9;1
B000000QVD;1
B000000R3I;3
B000000RE3;1
B000000RGX;1
B000000RT9;2
B000000S06;2
B000000S1M;2
B000000S4K;1
B000000SBF;4
B000000T9O;2
B000000TOL;1
B000000VEL;1
B000000WC3;7
B000000WLT;3
B000000WMI;1
B000000WQ8;2
B000000WR7;1
B000000WRB;3
B000000WSM;1
B000000WVY;1
B000000WWH;1
B000000WY9;1
B000000XEZ;5
B000000YXC;4
B000000Z0B;4
B000000Z3I;2
B000000Z7Z;1
B000000Z95;1
B000000ZND;7
B000000ZON;1
B000000ZPL;1
B000000ZQN;1
B000000ZR1;1
B00000107D;3
B0000010K0;2
B0000010W8;1
B0000011JY;1
B0000011LB;3
B0000011X9;1
B0000012EE;1
B0000012EJ;5
B0000012PR;2
B0000012UW;1
B0000012VH;4
B0000012VI;6
B0000012VJ;1
B0000012VN;4
B0000012VR;1
B0000012W0;1
B0000012WJ;7
B0000012WK;2
B0000012WN;5
B000001399;4
B0000013EE;4
B0000013EK;6
B0000013IS;13
B0000013JG;3
B0000013L4;4
B0000013M1;4
B0000013O7;4
B0000013OB;2
B0000013OL;5
B0000013P6;1
B0000013PE;4
B0000013Q4;3
B0000013QD;1
B0000013QG;4
B0000013R3;1
B0000013R7;1
B0000013RN;2
B0000013SC;2
B0000013SE;1
B0000013SG;2
B0000013SH;2
B0000013T5;3
B0000013TM;2
B0000013TQ;3
B0000013UC;1
B0000013V8;1
B0000013V9;1
B0000013VD;1
B0000013WA;1
B0000013WE;5
B0000013WF;2
B0000013WG;2
B0000013XD;1
B0000013XJ;4
B0000013Y3;3
B0000013Z1;3
B00000141I;3
B00000143B;1
B00000143C;1
B00000143M;4
B000001442;3
B000001443;1
B00000145R;3
B000001463;5
B00000146A;1
B00000147S;6
B00000148F;6
B000001492;3
B00000149G;2
B0000014A6;2
B0000014AE;1
B0000014AS;2
B0000014AU;2
B0000014AZ;1
B0000014B2;2
B0000014CD;1
B0000014CJ;6
B0000014CZ;1
B0000014D2;4
B0000014DA;1
B0000014DF;6
B0000014DU;2
B0000014DX;2
B0000014DY;3
B0000014E4;3
B0000014EA;4
B0000014EL;2
B0000014ES;2
B0000014EX;1
B0000014F9;3
B0000014FB;10
B0000014FH;1
B0000014FR;4
B0000014G1;4
B0000014G4;2
B0000014GA;1
B0000014GE;8
B0000014GG;1
B0000014GS;3
B0000014GT;4
B0000014H1;5
B0000014HF;1
B0000014KR;3
B0000014L5;1
B0000014NI;1
B0000014OR;1
B0000015BV;1
B0000015D2;1
B00000160T;3
B000001631;2
B00000163X;2
B00000165Z;2
B00000166J;2
B00000167D;1
B000001689;1
B00000168A;1
B00000168L;1
B00000169P;3
B0000016BR;4
B0000016BZ;3
B0000016CM;1
B0000016CX;2
B0000016EI;2
B0000016EY;2
B0000016EZ;2
B0000016FH;1
B0000016FS;2
B0000016GC;2
B0000016GO;1
B0000016GP;1
B0000016H5;2
B0000016I2;1
B0000016IF;2
B0000016IJ;1
B0000016JD;4
B0000016JF;1
B0000016K8;1
B0000016KA;1
B0000016KH;2
B0000016KK;1
B0000016KO;1
B0000016L6;1
B0000016LO;3
B0000016M2;1
B0000016MF;1
B0000016MI;1
B0000016MS;1
B0000016NG;1
B0000016NK;1
B0000016NT;2
B0000016OP;1
B0000016PM;1
B0000016PT;3
B00000174T;1
B000001757;1
B00000178B;3
B00000178L;2
B0000017AK;2
B0000017AV;2
B0000017WZ;4
B0000017X1;1
B00000181W;2
B000001886;5
B0000018IC;1
B0000018II;1
B0000018TZ;1
B00000190Z;1
B0000019BS;1
B0000019NP;2
B0000019RX;7
B000001A22;1
B000001A5T;3
B000001ATH;3
B000001B19;2
B000001BHQ;2
B000001BKM;2
B000001C0E;3
B000001C3S;4
B000001C6Y;6
B000001CCY;2
B000001CYR;1
B000001D84;1
B000001DDT;1
B000001DE0;1
B000001DET;1
B000001DF4;2
B000001DIN;3
B000001G67;6
B000001G6F;10
B000001G87;5
B000001G9R;6
B000001GB5;4
B000001GEX;6
B000001GF3;1
B000001GGB;5
B000001GGS;4
B000001GHH;4
B000001GI2;2
B000001GIK;6
B000001GMX;5
B000001GN8;3
B000001GRI;1
B000001IEW;2
B000001IGG;5
B000001IY0;5
B000001IZ0;1
B000001K4I;3
B000001K5M;3
B000001K5R;3
B000001K5S;3
B000001K73;3
B000001KCG;1
B000001KCH;4
B000001LZG;2
B000001MDC;1
B000001O9M;3
B000001O9U;1
B000001OJ0;5
B000001PJH;3
B000001Q3J;4
B000001Q6U;2
B000001Q87;1
B000001Q8D;1
B000001Q8P;3
B000001Q9T;1
B000001QA4;1
B000001QIU;8
B000001QJS;11
B000001QXB;2
B000001QZJ;2
B000001R01;6
B000001RPE;6
B000001RRK;1
B000001RTB;1
B000001RUJ;1
B000001RV3;4
B000001RVG;1
B000001RVK;1
B000001RVT;3
B000001RWV;1
B000001RWW;2
B000001RXG;2
B000001RXQ;4
B000001RZC;2
B000001S00;3
B000001S1N;2
B000001S31;3
B000001S9I;2
B000001SGY;1
B000001TB5;1
B000001TR7;1
B000001U0P;5
B000001ULZ;1
B000001UM0;1
B000001UPQ;3
B000001UQK;1
B000001USP;1
B000001UZS;1
B000001V64;1
B000001XI2;1
B000001XML;1
B000001XT0;1
B000001XV5;2
B000001XWE;4
B000001XX9;2
B000001XXQ;1
B000001XYH;3
B000001XZI;2
B000001YKY;1
B000001Z51;4
B000001ZHB;2
B000001ZHU;1
B000001ZKK;1
B000001ZL9;2
B000001ZM5;7
B000001ZON;3
B000001ZP0;2
B000001ZRI;2
B000001ZYV;9
B00000203X;4
B0000020BU;1
B0000020OF;1
B0000020T0;2
B0000021G0;1
B0000021G2;6
B0000021GO;2
B0000021GP;1
B0000021HU;1
B0000021HV;1
B0000021I5;2
B000002299;2
B00000229E;2
B00000229M;1
B0000022A8;2
B0000022BJ;2
B0000023HW;2
B0000023MN;3
B0000023N8;2
B0000023NE;1
B0000023OO;1
B0000023PL;1
B0000023Q3;2
B0000023Q4;1
B0000023Q5;1
B0000023R1;2
B0000023RF;1
B0000023RI;1
B0000023S0;3
B00000241E;1
B00000243D;2
B0000024D2;2
B0000025PT;1
B0000026PV;4
B00000275T;5
B0000027J6;1
B0000028XL;5
B00000296V;7
B0000029UW;7
B000002A4A;15
B000002A8J;5
B000002A8P;1
B000002A93;3
B000002A9C;1
B000002APP;3
B000002AUF;4
B000002AVQ;2
B000002DHM;5
B000002DLJ;2
B000002DOM;2
B000002DR5;4
B000002DUV;1
B000002G36;3
B000002GBS;5
B000002GR2;3
B000002GRS;2
B000002GRT;3
B000002GVG;1
B000002HT5;1
B000002IK0;3
B000002K41;1
B000002LB7;71
B000002MS7;1
B000002NNX;3
B000002NP8;1
B000002NQW;2
B000002NRP;1
B000002NTM;1
B000002NTO;3
B000002NTZ;1
B000002NU9;1
B000002R2A;28
B000002RZ4;3
B000002S4P;6
B000002SDI;3
B000002SMB;5
B000002SO0;64
B000002T5Q;1
B000002XZ6;1
B000002ZE7;1
B000002ZEV;5
B000002ZFR;4
B000002ZLE;2
B000002ZMY;3
B000002ZNH;3
B000002ZSM;1
B000002ZXE;1
B000002ZYN;2
B000002ZZ2;3
B00000300R;2
B000003033;1
B00000303S;4
B00000304F;1
B00000304M;2
B000003051;2
B00000306Y;1
B000003080;1
B0000030AY;4
B0000030AZ;1
B0000030B1;1
B0000030B2;1
B0000030B3;1
B0000030C6;1
B0000030FJ;2
B0000030GE;1
B0000030HL;2
B0000030JP;1
B0000030JY;2
B0000030PV;1
B0000030QX;2
B0000030S9;1
B0000030V7;5
B0000031FZ;1
B0000031LC;1
B0000031LX;2
B0000034LX;3
B0000034NJ;4
B0000034SJ;1
B0000034Z7;1
B000003548;1
B0000035OJ;5
B0000035PH;1
B0000035PN;1
B0000035V9;1
B0000035VC;1
B0000035VL;2
B0000035VZ;1
B0000035XL;1
B0000035Y6;2
B00000365K;1
B00000371D;2
B00000371T;2
B00000376W;2
B00000377Z;1
B00000378G;1
B000003794;4
B00000379F;2
B00000379H;1
B0000037B4;3
B0000037B9;4
B0000037BZ;2
B0000037DG;2
B0000037DT;2
B0000037F7;2
B0000037FJ;3
B0000037GV;2
B0000037HL;2
B0000037IJ;2
B0000037IW;1
B0000037JJ;2
